label,Imperial London (2),Oxford (4),ETH Zurich (7),Technical Munich (22),Trinity Dublin (75),Utrecht University (103),Dublin (118),Stockholm University (147),Northampton (1201-1400),Split (1201-1400),Hong Kong (32),Nanyang Technological  (12),Hong Kong Polytechnic  (57),Seoul National Univers (38),Universiti Malaya (58),Nazarbayev University (201),Anna University (465),Ben-Gurion the Negev (469),Anadolu University (1401+),Atma Jaya Catholic Uni (1401+),Auckland (65),Queensland (42),Otago (197),Deakin University (207),Newcastle (227),La Trobe University (233),Canterbury (261),Waikato (281),Tasmania (314),Murdoch University (423),Stanford University (3),Harvard University (5),Michigan (45),Kansas (465),Texas Tech University (731-740),MIT (1),Princeton University (24),Toronto (29),Cape Town (150),Witwatersrand (291),Auburn University (851-900),Miami University (1201-1400)
Imperial London (2),1.0000000000000007,0.33397491875870094,0.41533539185830065,0.382778183856703,0.33947298409519505,0.334370950753397,0.3724779086776028,0.2853860310405933,0.3059243551769917,0.25580478717048094,0.07425152419599708,0.3726878901058771,0.2206855413845948,0.2060043118260149,0.18997045312437702,0.3698435125741097,0.2443926703506203,0.3054302330463284,0.21758625207766236,0.16659966602730353,0.3264621480682659,0.3486102043336898,0.2917908218977682,0.31941067061134043,0.36978278440320533,0.36737874595658687,0.1902250154462444,0.22855098990322692,0.35373822101078567,0.16488100446355922,0.1695310665072533,0.14564266818006094,0.08329103158430777,0.06683222157825318,0.10774233490005436,0.17635827643233853,0.22056738203624868,0.08983146899521391,0.13717152572415495,0.13642470681793273,0.132339644386594,0.17376065063087978
Oxford (4),0.33397491875870094,1.0000000000000009,0.328618629430026,0.2293919882082676,0.34747332764245764,0.33874376651656757,0.3319882932971183,0.2889411152976482,0.36689324592818257,0.2783794181759775,0.08820270682913432,0.30304188798873605,0.16757506266454486,0.17179006487837334,0.16030812944705192,0.33388175259099756,0.24545135178876082,0.29229699486154015,0.2278116770919455,0.17208648774387159,0.34385415540962444,0.3580366592274046,0.3598150211904518,0.32899817218393995,0.32681952181899065,0.3322115419521876,0.23944364278656807,0.30838657994285634,0.31696970176512285,0.1955950639359603,0.1424619205990304,0.13669405752123254,0.08594894594401598,0.057187386848269045,0.11013892284550186,0.08639579660306534,0.1568626267522061,0.12383679186432839,0.13375192291968824,0.0741400686574793,0.13927680981243004,0.15000687716048544
ETH Zurich (7),0.41533539185830065,0.328618629430026,1.0000000000000004,0.41201696716867536,0.32099915253066946,0.4353123695124865,0.3037874682518926,0.4518169009794662,0.30399212285089,0.40063945863712297,0.11424024264363589,0.30960729654530406,0.206867656607608,0.1752023240532522,0.17383894883229226,0.4621740433421701,0.30324895345859665,0.3951089873908252,0.33574230344567174,0.24890940690057245,0.283479830177043,0.3344573092915924,0.31450047080139104,0.29710124522293807,0.34542470046803153,0.3028286345050065,0.19735001656194584,0.23457112333250132,0.37190852197125235,0.1521262505820429,0.13991161516433614,0.2099213303199007,0.10360666722561024,0.0979633454260624,0.14048909535020737,0.17494347203989516,0.18438983814819077,0.1413533722062212,0.14308765016665334,0.0856611980376354,0.16683086069624034,0.17858824897099831
Technical Munich (22),0.382778183856703,0.2293919882082676,0.41201696716867536,0.9999999999999999,0.24644721776479517,0.28802339159583445,0.26803265525698694,0.3151712609145735,0.2170869618969109,0.24704652921755685,0.0866741799923945,0.2787170894572204,0.18458319710441323,0.1722569996676324,0.18008273753072335,0.34448658357972173,0.23584474067661113,0.2991317873050888,0.23572496451373573,0.188949234464144,0.2231780765966463,0.2601414428675002,0.22278576697921335,0.232655183681254,0.24896443113876474,0.2691810413277904,0.18252175909810847,0.18693338628220824,0.283705989424352,0.12978732484426542,0.1546646776962551,0.1492774646530396,0.08316626419887543,0.05559360573355441,0.10109614881516231,0.16082408706714732,0.18545369435625858,0.1004795305545467,0.11647715231492545,0.0665318312857549,0.1371637990268816,0.15616542340074863
Trinity Dublin (75),0.33947298409519505,0.34747332764245764,0.32099915253066946,0.24644721776479517,0.9999999999999996,0.3321428578412497,0.3978512999200093,0.2719087952474407,0.3531282705630771,0.2582299347700972,0.06555645524612308,0.29699740929481755,0.1480251135753634,0.17998098054429967,0.174676003291878,0.29869403732306693,0.19788345349562259,0.23245469073673095,0.20545980182574838,0.1459622068001335,0.323784682414402,0.3533674052171086,0.3175285975294637,0.3126018653798915,0.3581700843753618,0.3262575994867501,0.23538208307769878,0.249893550373691,0.33652129125018293,0.21689482843071112,0.12078651791331062,0.12436299145339441,0.06394407172921428,0.05135418995160682,0.08382935926268051,0.10420415789864795,0.12641503883573674,0.08498887103127889,0.11492765052586328,0.07843637279639878,0.13099578245989962,0.17609684766608336
Utrecht University (103),0.334370950753397,0.33874376651656757,0.4353123695124865,0.28802339159583445,0.3321428578412497,0.9999999999999999,0.3160744730101884,0.39808050448540305,0.329931223735424,0.3490632985550789,0.0982418517635787,0.2722981819856137,0.17805877089158983,0.17027409017439518,0.1632661421952396,0.37580725841723467,0.2597053186396673,0.32641089243435606,0.29850599718651977,0.22302642378413906,0.3174392921607811,0.3168103972603425,0.3009778909655353,0.306939607779503,0.338197372559797,0.2930918091680111,0.23871950243049417,0.23876426094508116,0.36245317813914457,0.21124869569489016,0.14425912388562553,0.18140577973355568,0.08033285272787015,0.07607231197522069,0.12284288388623439,0.11550788917927272,0.13994747155820092,0.1201839471523265,0.12302630837456628,0.06794227586027436,0.14306552698731306,0.163810456206942
Dublin (118),0.3724779086776028,0.3319882932971183,0.3037874682518926,0.26803265525698694,0.3978512999200093,0.3160744730101884,1.000000000000001,0.2685346998829024,0.3484210706961482,0.22907453885159787,0.0776802718258632,0.30270698186601064,0.16964376690397426,0.17368169201401812,0.17276591491806043,0.2963431367335288,0.20026801576115558,0.24956890236230533,0.18903874985974253,0.1560460789777217,0.3408496555801106,0.37231516171673024,0.3091740185125295,0.34874121534733254,0.3660710133373019,0.3397679633081011,0.22887379638100583,0.2523375124778903,0.32599652135045165,0.2000889007840715,0.145012016557227,0.11032535617490404,0.07788526467855417,0.06319058970595426,0.07635586188141474,0.11333477092345867,0.16471941968299825,0.08262880303631029,0.09501845292529054,0.08605090204679079,0.10970885388971288,0.17561922697702956
Stockholm University (147),0.2853860310405933,0.2889411152976482,0.4518169009794662,0.3151712609145735,0.2719087952474407,0.39808050448540305,0.2685346998829024,0.9999999999999977,0.2641107579481955,0.3171844493694072,0.09650028266363277,0.23881484155602178,0.14423499411488583,0.1403875620542312,0.13091103408315088,0.3530707420015019,0.25490040416213827,0.3102283960951454,0.28731798474030834,0.23249938545243057,0.2581120921655919,0.2632631387915838,0.25881428033051357,0.23289115338259206,0.25174977247506436,0.22398007052706542,0.18800726654428004,0.23081394324451898,0.3224907894613862,0.15137575654475244,0.13897649296466352,0.14531304109580523,0.08472953776819943,0.04691741773638911,0.08530471092493125,0.12124929456120263,0.166320098630269,0.10714657380318357,0.12288981408969947,0.05652747271165374,0.1276140753197991,0.13160279348786688
Northampton (1201-1400),0.3059243551769917,0.36689324592818257,0.30399212285089,0.2170869618969109,0.3531282705630771,0.329931223735424,0.3484210706961482,0.2641107579481955,1.000000000000001,0.27528276547818314,0.0987452867646631,0.25358563044655236,0.1365983652171742,0.15258143295448848,0.19838089363009315,0.3016699650969616,0.22216440988537653,0.24029422636666672,0.2098367564498947,0.17812764375460716,0.3319159814595275,0.3545491810390162,0.3491116327948512,0.3471508547920877,0.36202928195385414,0.3335509398808808,0.24430054971504414,0.26640080689618173,0.34369812130836014,0.25375327998066993,0.12868814079823027,0.13717428570708604,0.06422023545420621,0.07564988475787326,0.09844001973935279,0.10899698225269734,0.12538801952552525,0.11217773417005894,0.11238602588127583,0.07473815314171735,0.13975113356629512,0.17037872835686335
Split (1201-1400),0.25580478717048094,0.2783794181759775,0.40063945863712297,0.24704652921755685,0.2582299347700972,0.3490632985550789,0.22907453885159787,0.3171844493694072,0.27528276547818314,0.9999999999999994,0.12415508191198726,0.20671109459094472,0.16743815899289638,0.13105804100943771,0.15153270032458718,0.41934241277730055,0.31256052037917265,0.344160551274268,0.468909313035502,0.26222712755785854,0.2508381223372237,0.2689024237303308,0.2898750346532174,0.23092044097814599,0.2848626035893266,0.2503722168988648,0.17324316629569633,0.246229901648836,0.3236046601713353,0.14426995566305437,0.11268694412525608,0.18065339563019348,0.07356608639161011,0.08165323104897511,0.1411591453599031,0.10774369932958873,0.1020177988846945,0.16200897023444114,0.1537657376704302,0.04785494107250439,0.16688803453685785,0.14443567947207522
Hong Kong (32),0.07425152419599708,0.08820270682913432,0.11424024264363589,0.0866741799923945,0.06555645524612308,0.0982418517635787,0.0776802718258632,0.09650028266363277,0.0987452867646631,0.12415508191198726,1.0,0.06854133640243702,0.14419906576218847,0.01709560001174456,0.0424053686456457,0.1470745879754343,0.13283360475050432,0.11503431167420283,0.13127677805442353,0.10659100787135592,0.0773884274262007,0.06685658065423021,0.10330307808219716,0.06229274644749963,0.07925324054580708,0.06359084646937314,0.038713277500859275,0.07799294091215724,0.11126168634911732,0.04544048886809424,0.08334460552796707,0.19862424654347063,0.042036704229965784,0.10995461604575665,0.24839346639037738,0.07758047125775328,0.06844484491605755,0.16378190253456132,0.23399938740600282,0.028791142403101183,0.19468837285957283,0.057935540821452636
Nanyang Technological  (12),0.3726878901058771,0.30304188798873605,0.30960729654530406,0.2787170894572204,0.29699740929481755,0.2722981819856137,0.30270698186601064,0.23881484155602178,0.25358563044655236,0.20671109459094472,0.06854133640243702,1.0000000000000018,0.17344335960804905,0.1923594526196036,0.17017316266764354,0.3000708714444441,0.20726025736574963,0.26012715353105587,0.1806702019357231,0.15630331735090544,0.2865664452358246,0.303599397425748,0.2544635863926853,0.3073069760366963,0.31745011282286295,0.2967986482197762,0.1946221981695752,0.21639952512330046,0.2927433594572203,0.16712520502451544,0.1339982061077523,0.0993167453438102,0.03991855861610098,0.0488750839473138,0.06520195108595962,0.10091764130565635,0.14831962754310157,0.05860255409014004,0.08801744186255246,0.06891854129689454,0.10663383736856798,0.15384322783021542
Hong Kong Polytechnic  (57),0.2206855413845948,0.16757506266454486,0.206867656607608,0.18458319710441323,0.1480251135753634,0.17805877089158983,0.16964376690397426,0.14423499411488583,0.1365983652171742,0.16743815899289638,0.14419906576218847,0.17344335960804905,0.9999999999999998,0.09212919165548171,0.11334625342937749,0.22061480707747957,0.17429724795969462,0.18057710385955866,0.16448680848726402,0.10452719250192023,0.14574412005714238,0.14891452176036837,0.14871331788922235,0.14376844264430597,0.17643577602836932,0.17817551782196064,0.13526030589098473,0.11721144341507173,0.15882832380832176,0.10517120520764282,0.11758808021360002,0.10109458391990261,0.04495277383050269,0.08636858041218998,0.0961585282226906,0.11768197028392297,0.15453773836117107,0.08932019516567834,0.13279095439814578,0.06742034033810528,0.10793258582184531,0.12172953818312478
Seoul National Univers (38),0.2060043118260149,0.17179006487837334,0.1752023240532522,0.1722569996676324,0.17998098054429967,0.17027409017439518,0.17368169201401812,0.1403875620542312,0.15258143295448848,0.13105804100943771,0.01709560001174456,0.1923594526196036,0.09212919165548171,1.0,0.11419488973109963,0.1858808069068653,0.12351060193370776,0.12787261270362968,0.09243812257052963,0.08080149344875877,0.20110699316804276,0.20487923428371121,0.13672757326753862,0.1686076723187987,0.1882382385801425,0.16886416563775433,0.14453939385823086,0.13604552778300377,0.15392560226684554,0.10441991510068635,0.08475428089084736,0.04795740084950162,0.010666751485529834,0.011939080998913304,0.023959684928924963,0.045573333276662194,0.10149266137073817,0.022070753676935253,0.04481432845507234,0.047530176775536365,0.038633481462993564,0.08152571276357963
Universiti Malaya (58),0.18997045312437702,0.16030812944705192,0.17383894883229226,0.18008273753072335,0.174676003291878,0.1632661421952396,0.17276591491806043,0.13091103408315088,0.19838089363009315,0.15153270032458718,0.0424053686456457,0.17017316266764354,0.11334625342937749,0.11419488973109963,1.0000000000000009,0.18923297776551135,0.14442506871197613,0.18995040067971755,0.15923259869298761,0.13354202220190012,0.16062852160880664,0.16749396689970078,0.13747694178729278,0.15040629901035277,0.20004277355606467,0.16294367232139198,0.14131533617083575,0.12706897780119544,0.16583021972261988,0.17280912997399925,0.07390396148071125,0.0786605351315256,0.026876039420824626,0.02017716723833792,0.05501683814122907,0.0734642663689465,0.10315525222702586,0.049194519892950275,0.06558047965258765,0.05869968578532713,0.07528492594423458,0.09970054336275705
Nazarbayev University (201),0.3698435125741097,0.33388175259099756,0.4621740433421701,0.34448658357972173,0.29869403732306693,0.37580725841723467,0.2963431367335288,0.3530707420015019,0.3016699650969616,0.41934241277730055,0.1470745879754343,0.3000708714444441,0.22061480707747957,0.1858808069068653,0.18923297776551135,1.0000000000000047,0.34788364610503886,0.4776655527181922,0.43865232879953076,0.29015034489342806,0.28954026674328787,0.32790925452787595,0.35143575066012184,0.2768407168349938,0.3424479117556707,0.3133402576087935,0.19685903929223716,0.274199644046363,0.40750613774856026,0.14767047715992546,0.1878515972112637,0.2593123337377425,0.09429819231603093,0.1095786888208798,0.1953305195375545,0.1761949167010755,0.18501736969168303,0.19765301485948672,0.18419544834435558,0.07769537381021155,0.23343126671499387,0.2099725840640133
Anna University (465),0.2443926703506203,0.24545135178876082,0.30324895345859665,0.23584474067661113,0.19788345349562259,0.2597053186396673,0.20026801576115558,0.25490040416213827,0.22216440988537653,0.31256052037917265,0.13283360475050432,0.20726025736574963,0.17429724795969462,0.12351060193370776,0.14442506871197613,0.34788364610503886,1.0,0.3066379058955131,0.3378167164900237,0.21447850442793273,0.18481218383608175,0.1890402863764571,0.21966492028910967,0.18230646201984546,0.22436810248459094,0.1956701231055978,0.13693266992775996,0.16520308183358925,0.23369085431011574,0.10511440133709231,0.10086144627860376,0.19297094006727902,0.07283912931617109,0.09125834947204282,0.13980435296480948,0.13076345227808056,0.1483517207087453,0.1793038553802989,0.15921752477165163,0.05739248786369722,0.16318039087076788,0.14795752992708114
Ben-Gurion the Negev (469),0.3054302330463284,0.29229699486154015,0.3951089873908252,0.2991317873050888,0.23245469073673095,0.32641089243435606,0.24956890236230533,0.3102283960951454,0.24029422636666672,0.344160551274268,0.11503431167420283,0.26012715353105587,0.18057710385955866,0.12787261270362968,0.18995040067971755,0.4776655527181922,0.3066379058955131,1.0000000000000018,0.3951077179116629,0.2619166629214971,0.23572466813743165,0.245318993515747,0.30685957425168575,0.21671613047181115,0.2722915246053509,0.23295979888202462,0.16666000339042727,0.2218751261784305,0.3266810635178531,0.1344388853401335,0.13669985115633784,0.21239083499531528,0.10333116069906415,0.08947040290741164,0.1592506442974672,0.15796014209859893,0.16353617475808976,0.16553678237056244,0.1500722992602005,0.07775269732838391,0.18786401940599065,0.17784536309149526
Anadolu University (1401+),0.21758625207766236,0.2278116770919455,0.33574230344567174,0.23572496451373573,0.20545980182574838,0.29850599718651977,0.18903874985974253,0.28731798474030834,0.2098367564498947,0.468909313035502,0.13127677805442353,0.1806702019357231,0.16448680848726402,0.09243812257052963,0.15923259869298761,0.43865232879953076,0.3378167164900237,0.3951077179116629,1.0000000000000018,0.2658576505771021,0.186166169343389,0.1947884506597009,0.22615360734385415,0.18606583340120492,0.21956917109296945,0.1821104328645296,0.13730156793509052,0.17785659195144654,0.26344153539900783,0.10082863322018373,0.11343840802225323,0.21208184489211898,0.09740889865612563,0.10629938706005469,0.18032684301365476,0.13281227769180645,0.1355355134473398,0.20120868875782294,0.1965076949446271,0.06292390404353003,0.18583994668981343,0.13443207235396742
Atma Jaya Catholic Uni (1401+),0.16659966602730353,0.17208648774387159,0.24890940690057245,0.188949234464144,0.1459622068001335,0.22302642378413906,0.1560460789777217,0.23249938545243057,0.17812764375460716,0.26222712755785854,0.10659100787135592,0.15630331735090544,0.10452719250192023,0.08080149344875877,0.13354202220190012,0.29015034489342806,0.21447850442793273,0.2619166629214971,0.2658576505771021,0.9999999999999991,0.1525558633320055,0.1630035176911274,0.17499525102633062,0.1470556498111548,0.1706687230158317,0.15897503526267687,0.09238717194828566,0.15989804970626778,0.21275206639712008,0.0995774352345947,0.09856644737682005,0.1438402883739527,0.0439114992232427,0.0784987707400026,0.11389900752251564,0.07482102405399291,0.10442218586866017,0.14131226528920188,0.11030713285493661,0.03272710923945168,0.11944608370455896,0.10379084585539984
